Artist, Album, Track 
Paul McCartney,NEW (Collector's Edition),New - Live At Tokyo Dome
Paul McCartney,NEW (Collector's Edition),Queenie Eye - Live At Tokyo Dome
Paul McCartney,NEW (Collector's Edition),Everybody Out There - Live At Tokyo Dome
Paul McCartney,NEW (Deluxe Edition),Save Us
Paul McCartney,NEW (Deluxe Edition),Alligator
Paul McCartney,NEW (Deluxe Edition),On My Way To Work
Paul McCartney,NEW (Deluxe Edition),Queenie Eye
Paul McCartney,NEW (Deluxe Edition),Early Days
Paul McCartney,NEW (Deluxe Edition),New
Paul McCartney,NEW (Deluxe Edition),Appreciate
Paul McCartney,NEW (Deluxe Edition),Everybody Out There
Paul McCartney,NEW (Deluxe Edition),Hosanna
Paul McCartney,NEW (Deluxe Edition),I Can Bet
Paul McCartney,NEW (Deluxe Edition),Looking At Her
Paul McCartney,NEW (Deluxe Edition),Road
Paul McCartney,NEW (Deluxe Edition),Turned Out
Paul McCartney,NEW (Deluxe Edition),Get Me Out Of Here - Medley
Paul McCartney,NEW,Save Us
Paul McCartney,NEW,Alligator
Paul McCartney,NEW,On My Way To Work
Paul McCartney,NEW,Queenie Eye
Paul McCartney,NEW,Early Days
Paul McCartney,NEW,New
Paul McCartney,NEW,Appreciate
Paul McCartney,NEW,Everybody Out There
Paul McCartney,NEW,Hosanna
Paul McCartney,NEW,I Can Bet
Paul McCartney,NEW,Looking At Her
Paul McCartney,NEW,Road
Paul McCartney,Kisses On The Bottom - Complete Kisses,I'm Gonna Sit Right Down And Write Myself A Letter
Paul McCartney,Kisses On The Bottom - Complete Kisses,Home (When Shadows Fall)
Paul McCartney,Kisses On The Bottom - Complete Kisses,It's Only A Paper Moon
Paul McCartney,Kisses On The Bottom - Complete Kisses,More I Cannot Wish You
Paul McCartney,Kisses On The Bottom - Complete Kisses,The Glory Of Love
Paul McCartney,Kisses On The Bottom - Complete Kisses,We Three (My Echo, My Shadow And Me)
Paul McCartney,Kisses On The Bottom - Complete Kisses,Ac-Cent-Tchu-Ate The Positive
Paul McCartney,Kisses On The Bottom - Complete Kisses,My Valentine
Paul McCartney,Kisses On The Bottom - Complete Kisses,Always
Paul McCartney,Kisses On The Bottom - Complete Kisses,My Very Good Friend The Milkman
Paul McCartney,Kisses On The Bottom - Complete Kisses,Bye Bye Blackbird
Paul McCartney,Kisses On The Bottom - Complete Kisses,Get Yourself Another Fool
Paul McCartney,Kisses On The Bottom - Complete Kisses,The Inch Worm
Paul McCartney,Kisses On The Bottom - Complete Kisses,Only Our Hearts
Paul McCartney,Kisses On The Bottom - Complete Kisses,The Christmas Song (Chestnuts Roasting On An Open Fire) - With Strings
Paul McCartney,Kisses On The Bottom - Complete Kisses,Baby's Request
Paul McCartney,Kisses On The Bottom - Complete Kisses,My One And Only Love
Paul McCartney,Kisses On The Bottom - Complete Kisses,My Valentine - Johnny Mandel Original Arrangement
Paul McCartney,Kisses On The Bottom - Complete Kisses,I'm Gonna Sit Right Down And Write Myself A Letter - Live from Capitol Studios
Paul McCartney,Kisses On The Bottom - Complete Kisses,Home (When Shadows Fall) - Live from Capitol Studios
Paul McCartney,Kisses On The Bottom,I'm Gonna Sit Right Down And Write Myself A Letter
Paul McCartney,Kisses On The Bottom,Home (When Shadows Fall)
Paul McCartney,Kisses On The Bottom,It's Only A Paper Moon
Paul McCartney,Kisses On The Bottom,More I Cannot Wish You
Paul McCartney,Kisses On The Bottom,The Glory Of Love
Paul McCartney,Kisses On The Bottom,We Three (My Echo, My Shadow And Me)
Paul McCartney,Kisses On The Bottom,Ac-Cent-Tchu-Ate The Positive
Paul McCartney,Kisses On The Bottom,My Valentine
Paul McCartney,Kisses On The Bottom,Always
Paul McCartney,Kisses On The Bottom,My Very Good Friend The Milkman
Paul McCartney,Kisses On The Bottom,Bye Bye Blackbird
Paul McCartney,Kisses On The Bottom,Get Yourself Another Fool
Paul McCartney,Kisses On The Bottom,The Inch Worm
Paul McCartney,Kisses On The Bottom,Only Our Hearts
Paul McCartney,McCartney: Ocean's Kingdom (Deluxe Edition),Movement 1: Ocean's Kingdom
Paul McCartney,McCartney: Ocean's Kingdom (Deluxe Edition),Movement 2: Hall of Dance
Paul McCartney,McCartney: Ocean's Kingdom (Deluxe Edition),Movement 3: Imprisonment
Paul McCartney,McCartney: Ocean's Kingdom (Deluxe Edition),Movement 4: Moonrise
Paul McCartney,McCartney: Ocean's Kingdom (Deluxe Edition),Movement 1: Ocean's Kingdom - Live
Paul McCartney,McCartney: Ocean's Kingdom (Deluxe Edition),Movement 2: Hall of Dance - Live
Paul McCartney,McCartney: Ocean's Kingdom (Deluxe Edition),Movement 3: Imprisonment - Live
Paul McCartney,McCartney: Ocean's Kingdom (Deluxe Edition),Movement 4: Moonrise - Live
Paul McCartney,Good Evening New York City,Drive My Car - Live At Citi Field, NYC, 2009
Paul McCartney,Good Evening New York City,Jet - Live At Citi Field, NYC, 2009
Paul McCartney,Good Evening New York City,Only Mama Knows - Live At Citi Field, NYC, 2009
Paul McCartney,Good Evening New York City,Flaming Pie - Live At Citi Field, NYC, 2009
Paul McCartney,Good Evening New York City,Got To Get You Into My Life - Live At Citi Field, NYC, 2009
Paul McCartney,Good Evening New York City,Let Me Roll It - Live At Citi Field, NYC, 2009
Paul McCartney,Good Evening New York City,Highway - Live At Citi Field, NYC, 2009
Paul McCartney,Good Evening New York City,The Long And Winding Road - Live At Citi Field, NYC, 2009
Paul McCartney,Good Evening New York City,My Love - Live At Citi Field, NYC, 2009
Paul McCartney,Good Evening New York City,Blackbird - Live At Citi Field, NYC, 2009
