Label,a,all,and,are,at,baby,back,be,better,but,can,come,cry,day,do,don,down,for,from,get,girl,go,gonna,good,got,have,he,her,hey,his,home,how,i,if,in,is,it,just,know,let,like,little,ll,long,love,m,make,man,me,mind,my,need,never,night,no,not,nothing,now,of,oh,on,one,only,out,please,re,s,said,say,see,she,so,t,take,tell,that,the,there,they,thing,this,time,to,up,ve,wa,want,way,we,well,what,when,where,why,will,with,yeah,yes,you,your
Lennon,0.27242498161303225,0.0,0.07654573633715848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40105207958020606,0.0,0.0,0.0,0.07932148021801905,0.0,0.0,0.0,0.0,0.0,0.12517940992678858,0.10395144893866233,0.0,0.0,0.09686999408708723,0.0,0.0,0.0,0.0,0.07822650263107145,0.0,0.0,0.0,0.09428755867488892,0.0,0.0,0.0,0.0,0.0,0.0,0.19446849374351016,0.0,0.0,0.0,0.0,0.1478233980179274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16414313871600553,0.0,0.0,0.0,0.10395144893866233,0.11572031177161413,0.42640679569213363,0.12964566249567344,0.0,0.05695502657037025,0.0,0.0,0.0,0.3847420439216626,0.12006917481507261,0.0,0.0,0.0,0.0,0.09567282744357906,0.0991015720975683,0.0,0.0,0.0,0.0,0.12131425084013624,0.0,0.0,0.14530499113063083,0.0,0.34217321454162897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23432135715458932,0.0,0.0,0.0
Lennon,0.07387421047564248,0.0,0.06919037311608243,0.24637229091243715,0.0,0.0,0.0,0.05055255635621831,0.0,0.0,0.0,0.2928438869354129,0.0,0.13594295557614594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10478251234844731,0.0,0.0,0.0,0.0,0.0,0.0,0.2594471625137572,0.08522736441106205,0.0,0.0,0.23197006310237583,0.0649436636687731,0.09724277870729572,0.0,0.0,0.0,0.0,0.0,0.0,0.12025699794939766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04845398524083066,0.0,0.0,0.0,0.0,0.2890746765099354,0.0,0.0,0.07722323399991858,0.0,0.0,0.23412416535918554,0.0,0.16279739544086402,0.26173274662602786,0.0,0.0,0.043622124437671314,0.32429820447809643,0.0,0.0,0.0,0.0,0.0,0.1315884387282695,0.2928438869354129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13283542530389275,0.0,0.0,0.0,0.41514223869649464,0.11371305915531668
Lennon,0.10286843622037992,0.08985603941752907,0.0,0.09148499728937198,0.0,0.0,0.0,0.08447217050428847,0.0,0.0,0.3764334824076841,0.0,0.0,0.0,0.034287815224402544,0.0,0.0,0.0,0.0,0.0,0.0,0.0731567622720501,0.0,0.0,0.11775707497727499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23630837227925652,0.0,0.0,0.08670606010222119,0.07120649258004133,0.11775707497727499,0.05780404006814746,0.0,0.10851938311378707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12396181800981086,0.0,0.13040538297105425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06520269148552713,0.0,0.09067691353682433,0.0,0.0,0.0,0.0,0.018063163828864547,0.0,0.0,0.0,0.0,0.0,0.10994064231214896,0.0,0.0,0.0,0.3140188666060666,0.0,0.0,0.266098425030974,0.0,0.0,0.0,0.0,0.0,0.0,0.03539216035300139,0.22174868752581167,0.6551547147411999,0.0
Lennon,0.2195506087978881,0.0,0.27417395854895044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11158562668211797,0.1450529967211598,0.0,0.13467198032240643,0.12196664308087138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5065832750620785,0.0,0.0,0.0,0.6433648406862119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14698328170817404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08642857379396968,0.2570129874076649,0.0,0.0,0.0,0.0,0.0,0.06517908763997501,0.0,0.0,0.13011451232152352,0.0,0.0,0.1362759724169289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06854348963723761,0.0
Lennon,0.1555684559861314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31112181751284174,0.0,0.0,0.045296580845805116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1454508685463747,0.17868517284214677,0.0,0.21537187720309336,0.0,0.0,0.0593615398747824,0.26225202579818985,0.19539822798507264,0.0,0.0,0.10479527092355763,0.2221027097478147,0.18284153948888973,0.1371311546166673,0.0,0.0,0.10129757257403683,0.0,0.0,0.0,0.12333741651436098,0.0,0.0,0.19265749373269409,0.0,0.0,0.0,0.29581907959053644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15719290638533645,0.0,0.0,0.0,0.0,0.0,0.19001644492933614,0.0,0.08195104184516445,0.0,0.0,0.0,0.0,0.0,0.24939568350174046,0.0,0.055946457855143565,0.0,0.1780846196243472,0.0,0.05793719106402457,0.0,0.0,0.0,0.0,0.0,0.0,0.15719290638533645,0.0,0.0,0.4371149056810141,0.14367800284581025
Lennon,0.09393420198994747,0.03418831076368045,0.04398925174427994,0.0,0.047805972313658913,0.0,0.0,0.032139863216804926,0.11841926133443063,0.0,0.10741869685526453,0.0,0.0,0.043214313107314106,0.0,0.0,0.04594634392474507,0.03418831076368045,0.05139998257298281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5331747310772031,0.0,0.0,0.04987655260143777,0.0,0.0,0.0674327300639405,0.03954794403903084,0.027092555074748288,0.0,0.0,0.0448040610296443,0.0,0.0,0.04128931586376247,0.0,0.1977397201951542,0.0,0.0,0.0,0.08167633524813178,0.14747990281577306,0.0,0.0,0.1182491042103689,0.04987655260143777,0.0,0.055878510920153474,0.04594634392474507,0.0,0.0,0.0,0.0,0.0,0.0,0.0448040610296443,0.0,0.0,0.0,0.21356859042018284,0.024548156975759017,0.15419994771894843,0.0,0.03721235478859839,0.0,0.0,0.0,0.04536627693892655,0.0,0.0,0.020617948299066317,0.04271371808403656,0.0,0.0,0.0,0.040397891491433004,0.062745112114186,0.046545432854375936,0.0,0.0,0.0,0.0,0.0,0.6074687271544802,0.0,0.0,0.0,0.0,0.0,0.03954794403903084,0.0,0.0,0.3299193880820996,0.0
Lennon,0.02824356062058722,0.0,0.026452837666663773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021531997306943447,0.0,0.0,0.0,0.04707031735970187,0.40679158395535736,0.46970542106100904,0.020559063836467543,0.030909263994227044,0.0,0.0,0.0,0.03360241694990701,0.0648896483681998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027033680441924876,0.023782067260346634,0.016292047101270725,0.0,0.0651681884050829,0.0,0.019838348498391632,0.5025580124763157,0.04965847458652163,0.0,0.0,0.0,0.06224063956018563,0.020746879853395208,0.0,0.0,0.41378949579138585,0.0,0.0,0.0,0.0,0.0,0.027629730650647593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06720483389981402,0.0,0.04428593706961423,0.0,0.0,0.0,0.24375994558400874,0.0,0.3001966984741867,0.0,0.0,0.0500327830790311,0.024797113737938865,0.0,0.0,0.0,0.0,0.04858636250103223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04858636250103223,0.030441662811192413,0.026452837666663773,0.0
Lennon,0.084918510256276,0.0,0.039767216267109017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6732489310166484,0.0,0.0,0.0,0.0,0.0,0.06181391562875133,0.0,0.0,0.0,0.05032612120532606,0.0,0.0,0.08100764227444719,0.0,0.0,0.0,0.04014921577390347,0.0,0.0,0.0,0.0,0.0,0.0326563256300042,0.07952930218013574,0.2939069306700378,0.0,0.0,0.17776661215398504,0.0,0.0,0.0,0.0,0.0,0.0,0.12306189803663074,0.0,0.04607853019343814,0.0,0.05344984870238357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022427171820504375,0.5179134907841568,0.0,0.0,0.055381958791813235,0.0,0.0,0.221920543929436,0.0,0.0,0.0,0.0,0.04158574180933983,0.0,0.19138968911860926,0.0,0.0,0.049704166448624,0.0,0.0,0.0,0.0,0.0,0.03781527447741132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04275536090591952,0.0,0.0,0.0,0.0,0.04869406726940349,0.0,0.05302295502281202,0.0871422157383519
Lennon,0.08827610654266649,0.09638696767162905,0.06200936067129949,0.04906716083487632,0.0,0.0,0.04619883328992539,0.0,0.0,0.0,0.0,0.0,0.051584350307123786,0.08122262663045043,0.0,0.0706355250480387,0.043178781164083864,0.0,0.0,0.0,0.7674057777677258,0.0,0.0,0.05070364170631501,0.0,0.0,0.045550829845250856,0.07847395150939149,0.0,0.09374451005389102,0.0,0.0,0.08449458929736539,0.037165786769621026,0.0,0.031002680384392637,0.10184257608522541,0.0,0.031002680384392637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03837829416568751,0.04619883328992539,0.04790043099448741,0.0,0.027781602176613206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11580033508301688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13841704137860958,0.048303921700313245,0.037165786769621026,0.0,0.38093955674136154,0.06484500311307201,0.05212632770873398,0.0,0.0,0.05212632770873398,0.09688016516786642,0.0802817429337048,0.048303921700313245,0.0,0.04906716083487632,0.07592907583924456,0.17689704339904408,0.0,0.0396829762418685,0.07847395150939149,0.042105303299646665,0.0,0.0,0.0,0.0,0.20000640054150917,0.0,0.05070364170631501,0.079365952483737,0.0,0.0,0.0,0.12401872134259898,0.0
Lennon,0.3295857465016316,0.05997804679217506,0.03858613281171606,0.0,0.0,0.0,0.08624347829616315,0.11276873158409961,0.0,0.0,0.18844931154609484,0.0,0.0,0.0,0.0,0.0,0.0,0.05997804679217506,0.0,0.0,0.0,0.07324715855205631,0.0,0.0,0.0,0.0,0.08503379253059612,0.0,0.0,0.0,0.0,0.09629710274749001,0.15773357808582703,0.0,0.04752965267061654,0.057875465730372076,0.0,0.0,0.11575093146074415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1432883622471922,0.25873043488848946,0.08942000233912417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10608546056715026,0.0,0.0,0.1958497779125694,0.12563287436406323,0.0,0.0,0.0,0.0,0.07493454121265646,0.17226361582250121,0.0,0.0,0.06528325930418981,0.0,0.0,0.0,0.0,0.08386810521858576,0.048654430125914416,0.3255387049536192,0.07493454121265646,0.0,0.0,0.0,0.0,0.1467686542096467,0.0,0.0,0.07324715855205631,0.0,0.0,0.07671571433778684,0.2664272300107359,0.0,0.0,0.18617828164608682,0.0,0.0,0.0,0.4252307128468735,0.0,0.3472751953054445,0.0
